-159,256,Missed Shot
11,290,Made Shot
-136,238,Missed Shot
-13,25,Missed Shot
169,193,Made Shot
125,224,Missed Shot
18,13,Made Shot
-14,14,Made Shot
-97,245,Missed Shot
-3,3,Made Shot
66,255,Made Shot
-223,138,Made Shot
45,64,Missed Shot
-192,188,Made Shot
-233,30,Missed Shot
-3,16,Missed Shot
-7,248,Missed Shot
226,6,Made Shot
-149,207,Made Shot
44,258,Missed Shot
-132,226,Made Shot
-7,20,Made Shot
6,68,Made Shot
223,-15,Made Shot
-7,-9,Missed Shot
9,20,Missed Shot
-161,189,Made Shot
7,19,Made Shot
150,237,Missed Shot
-227,56,Missed Shot
0,15,Missed Shot
-31,43,Missed Shot
-92,59,Made Shot
-26,29,Missed Shot
-22,47,Made Shot
110,227,Missed Shot
-135,219,Missed Shot
-14,1,Missed Shot
-46,26,Missed Shot
40,63,Missed Shot
-25,22,Made Shot
136,215,Missed Shot
-227,19,Missed Shot
27,243,Missed Shot
0,22,Made Shot
174,198,Made Shot
171,176,Made Shot
93,239,Missed Shot
31,260,Missed Shot
-57,78,Made Shot
19,32,Missed Shot
230,-10,Missed Shot
-34,31,Missed Shot
-43,240,Missed Shot
0,17,Made Shot
115,225,Made Shot
155,190,Made Shot
143,204,Missed Shot
-22,151,Missed Shot
-128,215,Made Shot
158,192,Missed Shot
-216,121,Made Shot
-30,248,Missed Shot
-130,227,Made Shot
-5,11,Made Shot
-94,242,Made Shot
-122,223,Missed Shot
-9,10,Made Shot
-105,232,Missed Shot
-114,231,Missed Shot
119,218,Missed Shot
-11,7,Made Shot
217,138,Missed Shot
105,223,Missed Shot
-7,41,Made Shot
-48,25,Missed Shot
-18,3,Made Shot
3,13,Missed Shot
-107,229,Missed Shot
35,255,Missed Shot
-38,71,Missed Shot
-36,271,Made Shot
7,278,Made Shot
-6,8,Missed Shot
1,8,Made Shot
-62,6,Made Shot
-127,215,Missed Shot
-5,6,Made Shot
-25,54,Made Shot
9,42,Made Shot
228,-4,Made Shot
38,259,Made Shot
-17,17,Missed Shot
46,251,Missed Shot
3,12,Missed Shot
116,215,Missed Shot
0,39,Made Shot
13,294,Made Shot
-223,107,Missed Shot
14,12,Made Shot
163,207,Missed Shot
27,259,Missed Shot
-196,238,Missed Shot
-30,8,Made Shot
-5,17,Made Shot
232,44,Missed Shot
-11,10,Missed Shot
-13,79,Made Shot
-5,27,Made Shot
-20,50,Missed Shot
-2,29,Missed Shot
-2,43,Missed Shot
152,15,Made Shot
144,243,Made Shot
-114,256,Missed Shot
116,51,Made Shot
20,293,Made Shot
2,323,Made Shot
8,299,Missed Shot
2,25,Made Shot
111,272,Missed Shot
0,30,Made Shot
